"CUSTOMER_ID";"CUSTOMER_NAME";"EMAIL";"PHONE";"CITY";"SIGNUP_DATE"
"C001";"Arjun Mehta";"arjun.mehta@example.com";"9876543210";"Mumbai";"2023-01-12"
"C002";"Priya Sharma";"priya.sharma@example.com";"9988776655";"Delhi";"2023-02-18"
"C003";"Rohit Verma";"rohit.verma@example.com";"9876001122";"Bangalore";"2023-03-10"
"C004";"Neha Gupta";"neha.gupta@example.com";"9090909090";"Hyderabad";"2023-04-02"
"C005";"Vikram Singh";"vikram.singh@example.com";"9123456789";"Chennai";"2023-05-25"
"C006";"Sana Khan";"sana.khan@example.com";"9012345678";"Pune";"2023-06-01"
"C007";"Karan Patel";"karan.patel@example.com";"9898989898";"Ahmedabad";"2023-06-15"
"C008";"Aisha Ahmed";"aisha.ahmed@example.com";"9786543210";"Kolkata";"2023-07-10"
"C009";"Siddharth Rao";"sid.rao@example.com";"9000011122";"Jaipur";"2023-07-21"
"C010";"Meera Nair";"meera.nair@example.com";"9345678901";"Kochi";"2023-08-08"
"C011";"Rahul Reddy";"rahul.reddy@example.com";"9871112233";"Hyderabad";"2023-08-18"
"C012";"Divya Kapoor";"divya.kapoor@example.com";"9765432109";"Indore";"2023-09-02"
"C013";"Harsh Yadav";"harsh.yadav@example.com";"9098765432";"Lucknow";"2023-09-22"
"C014";"Sneha Iyer";"sneha.iyer@example.com";"9665544332";"Bangalore";"2023-10-05"
"C015";"Aman Sinha";"aman.sinha@example.com";"9554433221";"Patna";"2023-10-18"
"C016";"Fatima Shaikh";"fatima.shaikh@example.com";"9872223344";"Mumbai";"2023-11-02"
"C017";"Gaurav Malhotra";"gaurav.malhotra@example.com";"9789001122";"Delhi";"2023-11-19"
"C018";"Ritika Desai";"ritika.desai@example.com";"9011765432";"Surat";"2023-12-01"
"C019";"Shivam Jha";"shivam.jha@example.com";"9432112345";"Guwahati";"2023-12-10"
"C020";"Nisha Arora";"nisha.arora@example.com";"9678901234";"Chandigarh";"2024-01-05"
"C021";"Ishaan Khanna";"ishaan.khanna@example.com";"9123098765";"Delhi";"2024-01-20"
"C022";"Alia Fernandes";"alia.fernandes@example.com";"9781234500";"Goa";"2024-01-28"
"C023";"Dev Patel";"dev.patel@example.com";"9345678001";"Ahmedabad";"2024-02-02"
"C024";"Shruti Vyas";"shruti.vyas@example.com";"9678901112";"Vadodara";"2024-02-10"
"C025";"Kavya Shetty";"kavya.shetty@example.com";"9988001122";"Mangalore";"2024-02-22"
"C026";"Tarun Joshi";"tarun.joshi@example.com";"9876501234";"Dehradun";"2024-03-01"
"C027";"Aditi Chauhan";"aditi.chauhan@example.com";"9543216789";"Gurgaon";"2024-03-08"
"C028";"Mohit Bansal";"mohit.bansal@example.com";"9234567811";"Bhopal";"2024-03-15"
"C029";"Zara Hussain";"zara.hussain@example.com";"9877654321";"Hyderabad";"2024-03-22"
"C030";"Rohan Kulkarni";"rohan.kulkarni@example.com";"9765123450";"Pune";"2024-03-30"
